trial,model,virtualnode,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1
10,Graph Attention Network,UnidirectionalVirtualClassNode(),1.120644758394631,0.9130391827500028,1e-06,0.0019530509959162,0.7862704060276267,-0.0964538305997848,0.6914867212707868,-0.2669454216957092,0.6817378125789341,0.6178581606080031,,0.9668209552764891,0.615530252456665,0.6784642186114609,0.4610501691453194
11,Graph Attention Network,UnidirectionalVirtualClassNode(),0.908916615653033,0.7896527801991821,1e-06,0.0017500415099437,0.7782335705316031,-0.1386908590793609,0.691734921816828,-0.3044012188911438,0.6804748673907552,0.6177190447147286,,0.9801230430603028,0.6318516135215759,0.6783509659557528,0.4539413208524209
12,Graph Attention Network,UnidirectionalVirtualClassNode(),0.1615462554147646,0.7054157206127094,1e-06,0.0015298035599732,0.7153620761825031,-3.2768101692199707,0.6693968726731199,-3.4475302696228027,0.6600151553422582,0.5832342985658325,,0.9677968621253968,0.656840443611145,0.6550051904947022,0.3921527142415574
13,Graph Attention Network,UnidirectionalVirtualClassNode(),1.9266757433966744,0.9016287727853594,1e-06,0.0030061209176183,0.7736291335286731,0.2960573136806488,0.686770910896004,0.1071209162473678,0.6774437989391261,0.6106028964882465,,0.9652934074401855,0.6138180494308472,0.6746178779707926,0.4295512584840649
14,Graph Attention Network,UnidirectionalVirtualClassNode(),1.889608872303168,0.0625088734249915,1e-06,0.0013261282268693,0.8457932189200502,0.420537918806076,0.6877637130801688,0.2464810311794281,0.6848951755493812,0.6257543344472781,,0.9603956341743468,0.5956066250801086,0.6824582594726787,0.4740228448905302
15,Graph Attention Network,UnidirectionalVirtualClassNode(),0.990088607881538,0.6905291365451908,1e-06,0.0026949317238212,0.7584763499372122,0.1603698581457138,0.6765946885083147,0.0448870882391929,0.6679717100277848,0.6005614065537382,,0.9591626524925232,0.6275653839111328,0.664145319137085,0.4229792669708608
16,Graph Attention Network,UnidirectionalVirtualClassNode(),3.094063733709896,0.0232889224603537,0.0001,0.0011117681485484,0.8565089995814148,0.3951641321182251,0.6909903201787044,0.2238487899303436,0.6823692851730235,0.6228485481435574,,0.9338961243629456,0.5618562698364258,0.679949316047271,0.4627403024607057
17,Graph Attention Network,UnidirectionalVirtualClassNode(),2.8853996808538493,0.0112922690474961,0.0001,0.0011182635801594,0.8681456676433654,0.3547814786434173,0.6827997021593447,0.1934338510036468,0.6803485728719374,0.6241699940175536,,0.9349870681762696,0.5519750118255615,0.6785966523029083,0.4900485556616517
18,Graph Attention Network,UnidirectionalVirtualClassNode(),3.1552558254631147,0.0131532121774043,0.0001,0.0011534490766286,0.8714943491000419,0.3462870121002197,0.6837925043435096,0.1983293443918228,0.6769386208638545,0.6219201600056501,,0.9217290878295898,0.5424321889877319,0.6753357876822419,0.4850849736120232
19,Graph Attention Network,UnidirectionalVirtualClassNode(),2.8162560075174823,0.1550383493860531,0.0,0.0005355191523945,0.755881121808288,0.7937943339347839,0.6783320923306031,0.5881112217903137,0.6682242990654206,0.6008585100461875,,0.9762325882911682,0.6430795788764954,0.6647666589913724,0.4411075319267212
20,Graph Attention Network,UnidirectionalVirtualClassNode(),1.2618721649810911,0.0472921681741411,0.01,0.0014368181850406,0.6207618250313939,1.3887124061584473,0.680565897244974,0.9303933382034302,0.6734023743369538,0.6057620175118088,,0.8044341802597046,0.5355514883995056,0.6692934500625697,0.4708994398519792
21,Graph Attention Network,UnidirectionalVirtualClassNode(),1.1173371957665743,0.3209273078759109,0.0001,0.0018258067029129,0.7921305985768103,0.3749723732471466,0.6944651278232812,0.1977132707834243,0.68615812073756,0.6217366665267503,,0.9679684638977052,0.6184146404266357,0.6835723332896161,0.4482505468506321
22,Graph Attention Network,UnidirectionalVirtualClassNode(),0.6119666309021392,0.3268696687244884,0.0001,0.0010753226139494,0.7355378819589786,0.4764197766780853,0.6738644825018615,0.3361697793006897,0.664561758019702,0.5944552949159755,,0.982533872127533,0.6649324893951416,0.6600809506229808,0.4299776292432352
23,Graph Attention Network,UnidirectionalVirtualClassNode(),1.7742204259147032,0.2838620661117479,0.0001,0.0016172819029456,0.7892005023022185,0.5380613207817078,0.6872673119880863,0.3280770778656006,0.67542308663804,0.6071755222968158,,0.9811450839042664,0.6287751197814941,0.6723965394780427,0.4298328865007277
24,Graph Attention Network,UnidirectionalVirtualClassNode(),0.3736125653931736,0.0877502988501495,0.0001,0.0025409868882237,0.8306404353285893,0.2853069603443146,0.6964507321916108,0.1122540906071662,0.687294771406921,0.6276719632469491,,0.9730370044708252,0.5990200638771057,0.6847052985765135,0.4758450447959896
25,Graph Attention Network,UnidirectionalVirtualClassNode(),0.4977929733254962,0.0954982932277677,0.0001,0.0024554367057671,0.8215152783591461,0.3564295172691345,0.689252916356416,0.1898535192012787,0.680727456428391,0.616867205244696,,0.9509022831916808,0.584761917591095,0.6774930438190094,0.4409393752403684
26,Graph Attention Network,UnidirectionalVirtualClassNode(),0.109577133856104,0.3588487420947885,0.0001,0.0032623828971277,0.6678945165341147,-2.0786778926849365,0.652271034996277,-2.1370689868927,0.6360191967668604,0.5643167521156482,,0.9665188789367676,0.6583607196807861,0.6312802408983296,0.4157079524011
27,Graph Attention Network,UnidirectionalVirtualClassNode(),1.346518177787047,0.0766092601038227,1e-05,0.0019590772999642,0.8761825031393888,0.2993165850639343,0.6832961032514272,0.1442966908216476,0.6788330386461228,0.620745222077609,,0.9627127647399902,0.5664396286010742,0.6768447329078289,0.488324479139445
28,Graph Attention Network,UnidirectionalVirtualClassNode(),1.223902909333341,0.3770778459397723,0.01,0.0022242860432214,0.5348681456676434,1.8573871850967407,0.637379002233805,1.1168140172958374,0.6365243748421319,0.565161891733073,,0.8590689897537231,0.5886722803115845,0.6335510812247285,0.4377653404323393
29,Graph Attention Network,UnidirectionalVirtualClassNode(),2.2148060913909,0.1086198122028664,0.0,0.0021692254395533,0.7994139807450816,0.5824515223503113,0.69421692727724,0.4084030985832214,0.6816115180601162,0.6221049677725315,,0.9652053117752076,0.6112841367721558,0.67836087180806,0.4691726667803222
30,Graph Attention Network,UnidirectionalVirtualClassNode(),2.3570329514656305,0.0879870287163312,0.0,0.0036203955986278,0.671326915027208,1.6685805320739746,0.6425912137006702,1.10608971118927,0.6324829502399596,0.5645445772073213,,0.9833294749259948,0.6501764059066772,0.6318799416328986,0.4272039214389516
31,Graph Attention Network,UnidirectionalVirtualClassNode(),2.1667760432701195,0.1600947559778037,0.0,0.0022278505073904,0.8176642946839682,0.5028300881385803,0.6927277240009928,0.3284771144390106,0.684011113917656,0.6246396044349551,,0.9644978046417236,0.6021668314933777,0.6808948527040306,0.4794193775073933
32,Graph Attention Network,UnidirectionalVirtualClassNode(),2.215331571054849,0.1287101079373237,0.0,0.002454331107057,0.7653411469233989,0.7183003425598145,0.6810622983370563,0.5568214058876038,0.6712553675170497,0.6094770169425423,,0.9526045322418212,0.6091139316558838,0.6698504210656343,0.479152550809268
