Graph Attention Network_layers4_neurons476,GraphSAGE_layers4_neurons256,GIN_layers4_neurons415
78.357589925345,84.1037629138074,75.09237614056255
79.26249905738632,83.80966744589398,75.02450795565944
78.60643993665636,84.57129929869542,75.65794434808838
78.63660357439107,83.9680265440012,75.06975341226152
78.91561722343715,85.19719478169068,75.05467159339416
78.8628308574014,84.9860493175477,75.19040796320037
79.21725360078426,85.0840811401855,75.13762159716461
79.48118543096298,85.68735389487972,75.05467159339416
79.30774451398838,85.24244023829274,75.10745795942991
79.30774451398838,84.95588567981298,75.51466706884851
79.51888997813136,85.37063569866525,75.87663072166502
79.33036724228943,85.57424025337455,75.86908981223137
79.48872634039665,85.83817208355327,75.91433526883343
79.42839906492723,86.20013573636982,75.45433979337908
79.71495362340698,86.53193575145163,75.99728527260388
79.58675816303446,86.41882210994646,75.74843526129251
79.76773998944273,86.84111303823241,75.76351708015987
79.60938089133549,86.3735766533444,75.25827614810346
79.80544453661112,87.3840585174572,76.60055802729809
79.46610361209562,86.65259030239046,76.42711711032351
79.54905361586607,87.13520850614584,76.37433074428776
80.09954000452456,87.5197948872634,76.1556443707111
79.51888997813136,87.33881306085513,76.32154437825201
78.8326672196667,87.7535630797074,76.34416710655304
78.66676721212579,87.57258125329915,76.73629439710429
79.25495814795265,87.73848126084006,76.87957167634417
79.35298997059044,87.39914033632456,76.84940803860945
78.38021265364603,88.15323127969233,76.45728074805822
79.39823542719252,88.36437674383531,76.85694894804314
78.72709448759521,88.10044491365659,76.75137621597165
79.10413995927908,88.22864037402911,76.85694894804314
79.15692632531484,88.22109946459543,77.05301259331875
79.59429907246815,88.85453585702436,77.11333986878817
78.88545358570244,88.45486765703944,77.15104441595656
80.32576728753487,89.06568132116733,76.81170349144107
79.35298997059044,88.64339039288139,77.3395671517985
79.95626272528466,88.9073222230601,77.5808762536762
80.34839001583592,88.86207676645803,77.25661714802806
79.49626724983034,88.54535857024356,77.41497624613528
79.79036271774376,89.5482995249227,77.70907171404872
79.92609908754996,89.15617223437147,77.73923535178342
80.03921272905512,89.08076314003469,77.83726717442123
80.35593092526959,89.88009954000452,77.58841716310987
80.19757182716235,89.44272679285122,78.5611944800543
80.41625820073901,89.80469044566775,77.27169896689541
