Graph Attention Network_layers4_neurons476,GraphSAGE_layers4_neurons256,GIN_layers4_neurons415
1.055052638053894,1.2683300971984863,1.3000389337539673
1.0691688060760498,1.2500592470169067,1.287093162536621
1.0819711685180664,1.222679853439331,1.2830619812011719
1.008506178855896,1.2137285470962524,1.2638081312179565
1.0242551565170288,1.1854960918426514,1.2617374658584595
0.9893290996551514,1.1736462116241455,1.243546724319458
0.9815629720687866,1.1626704931259155,1.2358503341674805
0.9737839102745056,1.1646959781646729,1.233361005783081
0.960635244846344,1.1310875415802002,1.2120182514190674
0.9493709206581116,1.142072081565857,1.2093048095703125
0.9385856986045837,1.1178829669952393,1.1961877346038818
0.9277822375297546,1.1039588451385498,1.200164556503296
0.928165078163147,1.0878840684890747,1.1636523008346558
0.9008772373199463,1.0729495286941528,1.168166995048523
0.906677782535553,1.0538694858551025,1.165043592453003
0.8948074579238892,1.0460073947906494,1.149962067604065
0.8721969127655029,1.034942865371704,1.1412523984909058
0.8905733823776245,1.0175938606262207,1.140161395072937
0.8564743995666504,1.0065451860427856,1.1337136030197144
0.8586635589599609,1.0029289722442627,1.137994408607483
0.867100179195404,1.0020619630813599,1.1287891864776611
0.8478272557258606,0.9758036136627197,1.141638994216919
0.8515293002128601,0.9716839790344238,1.1077598333358765
0.8301604390144348,0.9614519476890564,1.1121853590011597
0.8415594696998596,0.9485685229301453,1.1332457065582275
0.8226068019866943,0.9413799047470093,1.1020852327346802
0.8110687136650085,0.9139724969863892,1.097529649734497
0.8212871551513672,0.9252095818519592,1.0887813568115234
0.8220938444137573,0.9068419933319092,1.0976868867874146
0.8178925514221191,0.8892847299575806,1.094556212425232
0.8106728792190552,0.8889599442481995,1.0698704719543457
0.8062143325805664,0.8951384425163269,1.0748236179351807
0.7905038595199585,0.8717498183250427,1.0756244659423828
0.791564404964447,0.859483540058136,1.0602542161941528
0.7980747222900391,0.8617978096008301,1.0602933168411255
0.7655586004257202,0.8451906442642212,1.0393705368041992
0.8086119890213013,0.8347724080085754,1.0363786220550537
0.7628841400146484,0.8166255354881287,1.02411687374115
0.7968958616256714,0.8183922171592712,1.023461937904358
0.7784553170204163,0.81304931640625,1.0180126428604126
0.7551558017730713,0.7922019362449646,0.9943470358848572
0.774519145488739,0.7959254384040833,0.9939917922019958
0.7431727051734924,0.7997470498085022,0.9927859902381897
0.7551170587539673,0.7790305018424988,0.983407199382782
0.7367631793022156,0.7620214223861694,0.9853387475013733
0.7500781416893005,0.7599554061889648,0.961360514163971
0.7331238985061646,0.7537614107131958,0.9737857580184937
0.761180579662323,0.7303550243377686,0.9697797298431396
0.730740487575531,0.7333228588104248,0.961681604385376
0.7221115231513977,0.7279893159866333,0.9551476240158081
0.7178760170936584,0.7183240652084351,0.9531144499778748
0.7087343335151672,0.7155236005783081,0.951567530632019
0.7225337624549866,0.708552896976471,0.9407117366790771
0.7150098085403442,0.7010930776596069,0.9274245500564575
0.7165816426277161,0.6941511034965515,0.9287617206573486
0.7556973099708557,0.6863968968391418,0.9181342720985413
0.7783337831497192,0.6772922277450562,0.9097689390182495
0.7979008555412292,0.6730429530143738,0.9057389497756958
0.7752605676651001,0.6722530126571655,0.9067896604537964
0.7564024925231934,0.6567777395248413,0.92133629322052
0.7138698101043701,0.631250262260437,0.9006686210632324
0.7476212382316589,0.6534056067466736,0.9230434894561768
0.7111815214157104,0.6297804713249207,0.8997427225112915
0.7252034544944763,0.6254191398620605,0.8929952383041382
0.6986247301101685,0.632928729057312,0.889738142490387
0.7034258842468262,0.6322396397590637,0.8948317170143127
0.7034421563148499,0.6191354990005493,0.8922617435455322
0.695248007774353,0.6036667823791504,0.8790172338485718
0.6947964429855347,0.6072845458984375,0.8645921945571899
0.6794164180755615,0.5939893126487732,0.8707757592201233
0.6952438950538635,0.6090511679649353,0.862043559551239
0.6704065799713135,0.5821103453636169,0.8619101047515869
0.66575026512146,0.5970742702484131,0.8537015914916992
0.6658679842948914,0.5761858820915222,0.8483632802963257
0.6527662873268127,0.5688219666481018,0.8488450646400452
0.6641296744346619,0.5696707963943481,0.8378697037696838
0.6586819887161255,0.5488730669021606,0.8506601452827454
0.6934267282485962,0.5752936601638794,0.8199269771575928
0.6679202318191528,0.5478977560997009,0.8283566236495972
0.6552819013595581,0.5477862358093262,0.8207526803016663
0.6846526265144348,0.5456137657165527,0.8274513483047485
0.6569198369979858,0.5288922786712646,0.812884509563446
0.6486964225769043,0.5294219851493835,0.814115047454834
0.6399988532066345,0.5344395637512207,0.8076925277709961
0.6573900580406189,0.5231902003288269,0.7966998219490051
0.6669093370437622,0.512796938419342,0.7878201007843018
0.6380714178085327,0.5021636486053467,0.7984594106674194
0.6480420231819153,0.49316543340682983,0.7909387946128845
0.6431552767753601,0.5021975636482239,0.8011764287948608
0.6443958878517151,0.49750953912734985,0.7694793939590454
0.629775881767273,0.5018888115882874,0.7782274484634399
