trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
65,GraphSAGE,UnidirectionalVirtualClassNode(),,6.596578974,0.037688032,0.001,0.003701691,0.786772708,1.629013658,0.623976173,1.461132288,0.619095731,0.556021771,,0.733144104,0.431564152,0.628878718,0.430166948,
0,GraphSAGE,UnidirectionalVirtualClassNode(),,6.743252092,0.041418693,0.01,0.004434229,0.5282545,1.7565598,0.637875403,1.3611159,0.634503663,0.551321128,,0.776774049,0.531507075,0.626471579,0.407243726,
17,GraphSAGE,UnidirectionalVirtualClassNode(),,9.838991143,0.000227732,0.01,0.00147951,0.504395144,1.907484055,0.629188384,1.32519877,0.618969437,0.536697597,,0.613133609,0.421681613,0.611007787,0.381168271,
78,GraphSAGE,UnidirectionalVirtualClassNode(),,7.653918771,0.002144164,0.001,0.003141338,0.586102972,4.018802166,0.622983371,2.098660946,0.612781005,0.534068269,,0.842595398,0.473438948,0.610845962,0.366047917,
59,GraphSAGE,UnidirectionalVirtualClassNode(),,7.150078858,0.009175315,0.001,0.003225313,0.631059021,2.643917561,0.617026557,1.480986834,0.609876231,0.528371556,,0.670323253,0.388202488,0.603854605,0.328169933,
90,GraphSAGE,UnidirectionalVirtualClassNode(),,6.75626676,0.009748082,0.01,0.003458126,0.468564253,2.348405838,0.605112931,1.841558933,0.596615307,0.525550385,,0.626389682,0.428074181,0.591509412,0.39167361,
86,GraphSAGE,VirtualClassNode(),,7.43878967,0.032135247,1.00E-06,0.002470798,0.991460862,0.019399023,0.673616282,-0.005933005,0.661783279,0.608829748,,0.842851639,0.522935331,0.659991666,0.504254648,
25,GraphSAGE,UnidirectionalVirtualClassNode(),,9.921107992,0.000260383,0.01,0.001495149,0.479447468,2.241564035,0.60014892,1.583214641,0.598509725,0.518485565,,0.536954582,0.364872277,0.590569924,0.363172766,
53,GraphSAGE,UnidirectionalVirtualClassNode(),,7.3768905,0.007187755,0.001,0.003217095,0.565759732,6.970748901,0.591461901,4.021096706,0.585122506,0.506880438,,0.783556104,0.457459688,0.585094022,0.320443874,
23,GraphSAGE,UnidirectionalVirtualClassNode(),,8.740420194,0.002449455,0.001,0.002887651,0.556802009,7.626569748,0.558203028,3.981077671,0.55253852,0.469714112,,0.721921742,0.377582282,0.549284611,0.324657113,
55,GraphSAGE,UnidirectionalVirtualClassNode(),,6.506026889,0.005839694,0.01,0.003570842,0.38334031,4.197081566,0.542318193,2.897920132,0.534225815,0.462760896,,0.684451163,0.477057397,0.526229132,0.336868219,
18,GraphSAGE,UnidirectionalVirtualClassNode(),,7.400551734,0.0008537,0.001,0.002423042,0.582335705,3.801980257,0.520476545,3.630152464,0.51566052,0.444183072,,0.799222171,0.475027442,0.501232401,0.32143467,
68,GraphSAGE,UnidirectionalVirtualClassNode(),,7.536003737,0.011939846,0.01,0.005661243,0.304060276,6.353633881,0.492429883,5.212565899,0.482192473,0.401442577,,0.787276745,0.55833745,0.47168996,0.228804742,
77,GraphSAGE,UnidirectionalVirtualClassNode(),,6.506206012,0.008119592,0.001,0.004373511,0.428380075,20.57991982,0.375279226,20.0004425,0.369916646,0.334899178,,0.669679642,0.404222012,0.379999094,0.230995443,
85,GraphSAGE,UnidirectionalVirtualClassNode(),,8.436909318,0.023275559,0.001,0.003553001,0.412641272,18.98466301,0.364606602,23.39832306,0.358044961,0.27101294,,0.713690877,0.405228883,0.349059098,0.144553613,
82,GraphSAGE,UnidirectionalVirtualClassNode(),,6.919222691,0.005298259,0.001,0.004203689,0.511762244,9.684753418,0.347232564,22.63427353,0.345920687,0.264036333,,0.424706101,0.235349253,0.307133507,0.119845331,
58,GraphSAGE,UnidirectionalVirtualClassNode(),,5.852131218,0.016232033,0.001,0.004667234,0.542151528,15.44042587,0.234797717,65.55927277,0.233392271,0.185687959,,0.427794307,0.24000065,0.217841711,0.173473361,
15,GraphSAGE,UnidirectionalVirtualClassNode(),,7.943103844,0.002402915,0.001,0.004245977,0.515948095,9.985104561,0.25018615,34.67325211,0.247537257,0.168824449,,0.251739144,0.140599787,0.219895329,0.085042151,
9,GraphSAGE,UnidirectionalVirtualClassNode(),,1.607771271,2.32E-05,0.001,0.008132706,0.515696944,16.21095085,0.185654008,86.31194305,0.182369285,0.155882912,,0.30053845,0.170058727,0.182594365,0.080380934,
99,GraphSAGE,VirtualClassNode(),,6.593622202,0.00847961,0.001,0.004150589,0.992549184,0.027498776,0.669645073,0.004366941,0.660520333,0.60217264,,0.781170666,0.493456423,0.658663381,0.475112429,
