trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
22,GIN,UnidirectionalVirtualClassNode(),,5.121479838,5.95e-05,0.0001,0.0007148,0.969192131,0.082942069,0.662695458,0.040223129,0.655973731,0.597518843,,0.9591934084892273,0.37177252769470215,0.654436838,0.452905226,
42,GIN,UnidirectionalVirtualClassNode(),,4.082739547,4.96e-05,1e-05,0.000915822,0.954960234,0.124867104,0.666170266,0.070508011,0.655847436,0.597371619,,0.9964927434921265,0.2290211319923401,0.654290251,0.453275258,
59,GIN,UnidirectionalVirtualClassNode(),,6.090066439,4.32e-05,0.0001,0.000542063,0.963080787,0.093316361,0.664681062,0.043762561,0.653321546,0.597100473,,0.9943327903747559,0.21954309940338135,0.651557827,0.455092837,
17,GIN,UnidirectionalVirtualClassNode(),,4.079345493,1.77e-05,0.0,0.000505577,0.972457095,0.071053572,0.665673864,0.036016528,0.656857792,0.596523531,,0.9959391951560974,0.23080068826675415,0.65567356,0.441336597,
63,GIN,UnidirectionalVirtualClassNode(),,4.179516828,0.000107077,0.0001,0.000886142,0.969526999,0.081681192,0.659965252,0.039726097,0.654205607,0.596387604,,0.9950246214866638,0.24103820323944092,0.653134775,0.450390817,
40,GIN,UnidirectionalVirtualClassNode(),,5.410754284,1.82e-05,1e-06,0.001167166,0.949769778,0.140579805,0.664929263,0.063870274,0.658625916,0.595606474,,0.9917434453964233,0.2451297640800476,0.655966919,0.440003396,
53,GIN,UnidirectionalVirtualClassNode(),,4.714014306,2.73e-05,1e-05,0.000646312,0.958225199,0.108222447,0.663936461,0.04806827,0.653321546,0.595472509,,0.9935342073440552,0.27181321382522583,0.651886507,0.452567782,
62,GIN,UnidirectionalVirtualClassNode(),,3.657374662,2.08e-05,0.0,0.00056031,0.958225199,0.112181395,0.661702656,0.048348609,0.654331902,0.595467277,,0.9949806332588196,0.254557728767395,0.65211074,0.439461296,
76,GIN,UnidirectionalVirtualClassNode(),,4.317878817,1.43e-05,0.001,0.000545293,0.955629971,0.117864326,0.665673864,0.052977446,0.652942662,0.595097086,,0.9923868179321289,0.2421942949295044,0.651400252,0.43220662,
84,GIN,UnidirectionalVirtualClassNode(),,4.100720573,1.14e-05,0.001,0.000673138,0.920217664,0.224874273,0.663936461,0.173049182,0.65231119,0.594783868,,0.9948073029518127,0.2599070072174072,0.650327287,0.439257377,
28,GIN,UnidirectionalVirtualClassNode(),,4.354162581,7.25e-05,0.0,0.000503772,0.965173713,0.096430667,0.663936461,0.044288978,0.653195251,0.59389138,,0.9950522184371948,0.2714974880218506,0.651743234,0.439929405,
43,GIN,UnidirectionalVirtualClassNode(),,4.624194702,9.45e-05,0.001,0.000722506,0.703725408,1.072297931,0.668652271,0.847493649,0.658499621,0.593190192,,0.9950452446937561,0.26514536142349243,0.654871169,0.422933712,
50,GIN,UnidirectionalVirtualClassNode(),,5.92700761,9.62e-05,1e-06,0.001818409,0.737463374,0.859297156,0.655497642,0.783450365,0.651553423,0.587993791,,0.9950827360153198,0.2629520893096924,0.646556108,0.435307093,
35,GIN,UnidirectionalVirtualClassNode(),,2.891444886,0.000242638,0.01,0.001058289,0.788028464,0.648650169,0.639861008,0.3814677,0.631472594,0.569588122,,0.9960190057754517,0.1797674298286438,0.628048535,0.426551001,
57,GIN,UnidirectionalVirtualClassNode(),,4.960902143,1.51e-05,0.0001,0.000659061,0.69292591,1.094536424,0.64085381,1.009652019,0.633619601,0.556266373,,0.9946895837783813,0.25312620401382446,0.624539265,0.408755271,
88,GIN,UnidirectionalVirtualClassNode(),,3.862727139,2.14e-05,0.001,0.00068593,0.685558811,1.111904502,0.611069744,1.165975094,0.607097752,0.524902524,,0.9961143136024475,0.2260044813156128,0.600482186,0.363013439,
37,GIN,UnidirectionalVirtualClassNode(),,1.263666138,0.000119261,1e-06,0.000686556,0.646379238,1.318949938,0.606353934,1.296497822,0.597878252,0.517947039,,0.995069146156311,0.2530232071876526,0.588182567,0.340827774,
78,GIN,VirtualClassNode(),,5.800489302,1.34e-05,0.001,0.000671729,0.971368774,0.410925746,0.020848846,21.78543663,0.018944178,0.019966712,,0.977988600730896,0.25647902488708496,0.011692035,0.040473009,
13,GIN,UnidirectionalVirtualClassNode(),,6.986761806,0.000395579,1e-05,0.001264403,0.610046044,1.51210475,0.59990072,1.429350972,0.588911341,0.502631807,,0.9956071972846985,0.2661358118057251,0.577807129,0.32743229,
39,GIN,UnidirectionalVirtualClassNode(),,3.855717308,0.000216436,1e-05,0.001594659,0.619840938,1.51653564,0.602879126,1.425303936,0.590679465,0.502239529,,0.9942805767059326,0.236727774143219,0.579591602,0.31761856,
